id;id_belanja;detail;harga;satuan
163;10;Uang Harian Fullboard di Dalam Kota: Bengkulu - Pegawai UNS;130000;Orang/Hari
164;10;Uang Harian Fullboard di Dalam Kota: Bangka Belitung - Pegawai UNS;130000;Orang/Hari
165;10;Uang Harian Fullboard di Dalam Kota: Banten - Pegawai UNS;120000;Orang/Hari
166;10;Uang Harian Fullboard di Dalam Kota: Jawa Barat  - Pegawai UNS;150000;Orang/Hari
167;10;Uang Harian Fullboard di Dalam Kota: D.K.I. Jakarta - Pegawai UNS;180000;Orang/Hari
168;10;Uang Harian Fullboard di Dalam Kota: Jawa Tengah - Pegawai UNS;130000;Orang/Hari
169;10;Uang Harian Fullboard di Dalam Kota: D.I. Yogyakarta - Pegawai UNS;140000;Orang/Hari
170;10;Uang Harian Fullboard di Dalam Kota: Jawa Timur - Pegawai UNS;140000;Orang/Hari
171;10;Uang Harian Fullboard di Dalam Kota: Bali - Pegawai UNS;160000;Orang/Hari
172;10;Uang Harian Fullboard di Dalam Kota: Nusa Tenggara Barat - Pegawai UNS;150000;Orang/Hari
173;10;Uang Harian Fullboard di Dalam Kota: Nusa Tenggara Timur - Pegawai UNS;140000;Orang/Hari
174;10;Uang Harian Fullboard di Dalam Kota: Kalimantan Barat - Pegawai UNS;130000;Orang/Hari
175;10;Uang Harian Fullboard di Dalam Kota: Kalimantan Tengah - Pegawai UNS;120000;Orang/Hari
176;10;Uang Harian Fullboard di Dalam Kota: Kalimantan Selatan - Pegawai UNS;130000;Orang/Hari
177;10;Uang Harian Fullboard di Dalam Kota: Kalimantan Timur - Pegawai UNS;150000;Orang/Hari
178;10;Uang Harian Fullboard di Dalam Kota: Kalimantan Utara - Pegawai UNS;150000;Orang/Hari
179;10;Uang Harian Fullboard di Dalam Kota: Sulawesi Utara - Pegawai UNS;130000;Orang/Hari
180;10;Uang Harian Fullboard di Dalam Kota: Gorontalo - Pegawai UNS;130000;Orang/Hari
181;10;Uang Harian Fullboard di Dalam Kota: Sulawesi Barat - Pegawai UNS;120000;Orang/Hari
182;10;Uang Harian Fullboard di Dalam Kota: Sulawesi Selatan - Pegawai UNS;150000;Orang/Hari
183;10;Uang Harian Fullboard di Dalam Kota: Sulawesi Tengah - Pegawai UNS;130000;Orang/Hari
184;10;Uang Harian Fullboard di Dalam Kota: Sulawesi Tenggara - Pegawai UNS;130000;Orang/Hari
185;10;Uang Harian Fullboard di Dalam Kota: Maluku - Pegawai UNS;120000;Orang/Hari
186;10;Uang Harian Fullboard di Dalam Kota: Maluku Utara - Pegawai UNS;130000;Orang/Hari
187;10;Uang Harian Fullboard di Dalam Kota: Papua - Pegawai UNS;200000;Orang/Hari
188;10;Uang Harian Fullboard di Dalam Kota: Papua Barat - Pegawai UNS;160000;Orang/Hari
189;11;Uang Harian Fullday/Halfday di Dalam Kota: Aceh - Pegawai UNS;85000;Orang/Hari
190;11;Uang Harian Fullday/Halfday di Dalam Kota: Sumatera Utara - Pegawai UNS;95000;Orang/Hari
191;11;Uang Harian Fullday/Halfday di Dalam Kota: Riau - Pegawai UNS;85000;Orang/Hari
192;11;Uang Harian Fullday/Halfday di Dalam Kota: Kepulauan Riau - Pegawai UNS;95000;Orang/Hari
193;11;Uang Harian Fullday/Halfday di Dalam Kota: Jambi - Pegawai UNS;95000;Orang/Hari
194;11;Uang Harian Fullday/Halfday di Dalam Kota: Sumatera Barat - Pegawai UNS;85000;Orang/Hari
195;11;Uang Harian Fullday/Halfday di Dalam Kota: Sumatera Selatan - Pegawai UNS;85000;Orang/Hari
196;11;Uang Harian Fullday/Halfday di Dalam Kota: Lampung - Pegawai UNS;95000;Orang/Hari
197;11;Uang Harian Fullday/Halfday di Dalam Kota: Bengkulu - Pegawai UNS;95000;Orang/Hari
198;11;Uang Harian Fullday/Halfday di Dalam Kota: Bangka Belitung - Pegawai UNS;95000;Orang/Hari
199;11;Uang Harian Fullday/Halfday di Dalam Kota: Banten - Pegawai UNS;85000;Orang/Hari
200;11;Uang Harian Fullday/Halfday di Dalam Kota: Jawa Barat  - Pegawai UNS;105000;Orang/Hari
201;11;Uang Harian Fullday/Halfday di Dalam Kota: D.K.I. Jakarta - Pegawai UNS;130000;Orang/Hari
202;11;Uang Harian Fullday/Halfday di Dalam Kota: Jawa Tengah - Pegawai UNS;95000;Orang/Hari
203;11;Uang Harian Fullday/Halfday di Dalam Kota: D.I. Yogyakarta - Pegawai UNS;100000;Orang/Hari
204;11;Uang Harian Fullday/Halfday di Dalam Kota: Jawa Timur - Pegawai UNS;100000;Orang/Hari
205;11;Uang Harian Fullday/Halfday di Dalam Kota: Bali - Pegawai UNS;115000;Orang/Hari
206;11;Uang Harian Fullday/Halfday di Dalam Kota: Nusa Tenggara Barat - Pegawai UNS;105000;Orang/Hari
207;11;Uang Harian Fullday/Halfday di Dalam Kota: Nusa Tenggara Timur - Pegawai UNS;100000;Orang/Hari
208;11;Uang Harian Fullday/Halfday di Dalam Kota: Kalimantan Barat - Pegawai UNS;95000;Orang/Hari
209;11;Uang Harian Fullday/Halfday di Dalam Kota: Kalimantan Tengah - Pegawai UNS;85000;Orang/Hari
210;11;Uang Harian Fullday/Halfday di Dalam Kota: Kalimantan Selatan - Pegawai UNS;95000;Orang/Hari
211;11;Uang Harian Fullday/Halfday di Dalam Kota: Kalimantan Timur - Pegawai UNS;105000;Orang/Hari
212;11;Uang Harian Fullday/Halfday di Dalam Kota: Kalimantan Utara - Pegawai UNS;105000;Orang/Hari
213;11;Uang Harian Fullday/Halfday di Dalam Kota: Sulawesi Utara - Pegawai UNS;95000;Orang/Hari
214;11;Uang Harian Fullday/Halfday di Dalam Kota: Gorontalo - Pegawai UNS;95000;Orang/Hari
215;11;Uang Harian Fullday/Halfday di Dalam Kota: Sulawesi Barat - Pegawai UNS;85000;Orang/Hari
216;11;Uang Harian Fullday/Halfday di Dalam Kota: Sulawesi Selatan - Pegawai UNS;105000;Orang/Hari
217;11;Uang Harian Fullday/Halfday di Dalam Kota: Sulawesi Tengah - Pegawai UNS;95000;Orang/Hari
218;11;Uang Harian Fullday/Halfday di Dalam Kota: Sulawesi Tenggara - Pegawai UNS;95000;Orang/Hari
219;11;Uang Harian Fullday/Halfday di Dalam Kota: Maluku - Pegawai UNS;85000;Orang/Hari
220;11;Uang Harian Fullday/Halfday di Dalam Kota: Maluku Utara - Pegawai UNS;95000;Orang/Hari
221;11;Uang Harian Fullday/Halfday di Dalam Kota: Papua - Pegawai UNS;140000;Orang/Hari
222;11;Uang Harian Fullday/Halfday di Dalam Kota: Papua Barat - Pegawai UNS;115000;Orang/Hari
223;12;Transportasi Kegiatan Dalam Kota (PP) - Non Pegawai UNS;150000;Orang/Kali
224;13;Sidang Pleno MWA;1000000;Orang/Kegiatan
225;13;Sidang Komisi MWA;500000;Orang/Kegiatan
226;14;Sidang Pleno Senat Akademik/Dewan Professor ;250000;Orang/Kegiatan
227;14;Sidang Komisi Senat Akademik/Dewan Professor ;250000;Orang/Kegiatan
228;15;Sidang Pleno Senat Akademik Fakultas/Sekolah;150000;Orang/Kegiatan
229;15;Sidang Komisi Senat Akademik Fakultas/Sekolah;150000;Orang/Kegiatan
230;16;Tiket pp dari/ke negara asal kelas ekonomi ;0;Orang/Kegiatan
231;16;Akomodasi hotel dosen tamu;750000;Orang/Hari
232;16;Bantuan hosting tamu asing (banner, konsumsi (dinner, lunch), wisata, transport lokal);2000000;Orang/Kegiatan
233;16;Biaya transfer honor narsum luar negeri;0;Orang/Kegiatan
234;17;Honorarium Pengajar  Diploma, Sarjana, Profesi: Guru Besar;300000;SKS/Hadir 
235;17;Honorarium Pengajar  Diploma, Sarjana, Profesi: Lektor Kepala;250000;SKS/Hadir
236;17;Honorarium Pengajar  Diploma, Sarjana, Profesi: Lektor ;200000;SKS/Hadir
237;17;Honorarium Pengajar  Diploma, Sarjana, Profesi: Asisten Ahli;175000;SKS/Hadir
238;18;Honorarium Pengajar  S-2/Sp1: Guru Besar;350000;SKS/Hadir
239;18;Honorarium Pengajar  S-2/Sp1: Lektor Kepala;300000;SKS/Hadir
240;18;Honorarium Pengajar  S-2/Sp1: Lektor ;250000;SKS/Hadir
241;18;Honorarium Pengajar  S-2/Sp1: Asisten Ahli;200000;SKS/Hadir
242;19;Honorarium Pengajar  S-3/Sp2: Guru Besar;450000;SKS/Hadir
243;19;Honorarium Pengajar  S-3/Sp2: Lektor Kepala;350000;SKS/Hadir
244;19;Honorarium Pengajar  S-3/Sp2: Lektor ;300000;SKS/Hadir
245;19;Honorarium Pengajar  S-3/Sp2: Asisten Ahli;250000;SKS/Hadir
246;20;Honorarium Pengajar  Kelas Internasional: Guru Besar;450000;SKS/Hadir
247;20;Honorarium Pengajar  Kelas Internasional: Lektor Kepala;400000;SKS/Hadir
248;20;Honorarium Pengajar  Kelas Internasional: Lektor ;350000;SKS/Hadir
249;20;Honorarium Pengajar  Kelas Internasional: Asisten Ahli;300000;SKS/Hadir
250;21;Honorarium Pembimbing Skripsi/ Tugas Akhir;750000;Orang/Mhs
251;21;Honorarium Penguji Skripsi/ Tugas Akhir;200000;Orang/Mhs
252;22;Honorarium Pembimbing Tesis (Pembimbing Pendamping);1250000;Orang/Mhs
253;22;Honorarium Penguji Proposal Tesis;200000;Orang/Mhs
254;22;Honorarium Penguji Seminar Hasil Penelitian Tesis;400000;Orang/Mhs
255;23;Honorarium Penguji Proposal Disertasi: Ketua/ Sekretaris /Promotor;200000;Orang/Mhs
256;23;Honorarium Penguji Proposal Disertasi: Penguji Utama;250000;Orang/Mhs
257;23;Honorarium Penguji Hasil Penelitian Disertasi;1000000;Orang/Mhs
258;24;Dosen Asing;1750000;Orang/Jam
259;24;Gaji adjuct professor;15000000;Orang/Bulan
260;24;Gaji post-doctoral fellow;10000000;Orang/Bulan
261;24;Narasumber kuliah umum internasional;59600000;Orang/Kegiatan
262;24;Chairman of UNS international advisors (ketua penasehat internasional UNS);14900000;Orang/Bulan
263;25;Honor Kontrak Profesional (Bidang Sistem Informasi): Sistem Analis;6200000;Orang/Bulan
264;25;Honor Kontrak Profesional (Bidang Sistem Informasi): Senior Database Administrator;5150000;Orang/Bulan
265;25;Honor Kontrak Profesional (Bidang Sistem Informasi): Server Arsitek;5675000;Orang/Bulan
266;25;Honor Kontrak Profesional (Bidang Sistem Informasi): Senior Network Engineering;5360000;Orang/Bulan
267;25;Honor Kontrak Profesional (Bidang Sistem Informasi): Senior Programmer;5675000;Orang/Bulan
268;26;Honor Kontrak Profesional (Bidang Sistem Informasi): Junior Database Administrator (S1);4835000;Orang/Bulan
269;26;Honor Kontrak Profesional (Bidang Sistem Informasi): Junior Network Engineering (S1);4835000;Orang/Bulan
270;26;Honor Kontrak Profesional (Bidang Sistem Informasi): Junior Programmer (S1);4835000;Orang/Bulan
271;26;Honor Kontrak Profesional (Bidang Sistem Informasi): Junior Database Administrator (D3);4310000;Orang/Bulan
272;26;Honor Kontrak Profesional (Bidang Sistem Informasi): Junior Network Engineering (D3);4310000;Orang/Bulan
273;26;Honor Kontrak Profesional (Bidang Sistem Informasi): Junior Programmer (D3);4310000;Orang/Bulan
274;27;Honor Kontrak Profesional (Bidang Lainnya), Penddikan: SLTA/Diploma;1500000;Orang/Bulan
275;28;Honor Kontrak Profesional (Bidang Lainnya), Penddikan: Strata satu/Strata dua;8000000;Orang/Bulan
276;29;Honorarium Tenaga Magang Mahasiswa (Diploma/S1/S2/S3);50000;Orang/Hari
277;30;Narasumber /Pembicara/Pembahas/ Perumus Hasil untuk Kegiatan Lokal/Nasional: Menteri/Pejabat setingkat Menteri;1700000;Orang/Jam
278;30;Narasumber /Pembicara/Pembahas/ Perumus Hasil untuk Kegiatan Lokal/Nasional: Pejabat Eselon I/yang disetarakan;1400000;Orang/Jam
279;30;Narasumber /Pembicara/Pembahas/ Perumus Hasil untuk Kegiatan Lokal/Nasional: Pejabat Eselon II/yang disetarakan;1000000;Orang/Jam
280;30;Narasumber /Pembicara /Pembahas/ Perumus Hasil untuk Kegiatan Lokal/Nasional: Pejabat Eselon III/yang disetarakan;900000;Orang/Jam
281;30;Narasumber /Pembicara/Pembahas/ Perumus Hasil untuk Kegiatan Lokal/Nasional: Praktisi/Pakar/Profesional;1700000;Orang/Jam
282;30;Moderator  untuk Kegiatan Lokal/Nasional;700000;Orang/Kegiatan
283;30;Pembawa Acara untuk Kegiatan Lokal/Nasional;400000;Orang/Kegiatan
284;31;Narasumber /Pembicara/Pembahas/ Perumus Hasil untuk Kegiatan Internasional: Menteri/Pejabat setingkat Menteri;2550000;Orang/Jam
